FechaVersion;AnoHecho;MesOCurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;TipoVehiculoGrupo;ObjetoColision;ConteoRegistros
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Rural;Hombre;19.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;;Rural;Hombre;;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.ENERO;5001.0;Antioquia;Medellin;Rural;Mujer;18.0;Usuario de moto;Motocicleta;Objeto fijo;1,0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;18.0;Usuario T.Carga;Transporte De Carga;No aplica;2.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;;Peatón;No Aplica;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;;Antioquia;Medellin;Urbana;Hombre;24.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;25.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;27.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;28.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;;5001.0;Antioquia;Medellin;Urbana;Hombre;;Usuario de moto;Motocicleta;;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Homre;30.0;Usuario de moto;Motocicleta;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;35.0;Peatón;;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;37.0;Peatón;No Aplica;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;5001.0;Antioquia;Medellin;Urbana;Hombre;39.0;Usuario de moto;Motocicleta;Transporte de carga;
