AnoHecho;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;ActorVial;TipoVehiculoGrupo;ObjetoColision;CondicionVictima;DiaOcurrencia;Rango3horas;ConteoRegistros
2023.0;25183.0;Cundinamarca;;Urbana;Mujer;22.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Transporte individual;Pasajero;6.Sábado;00:00 a 02:59;1.0
2017.0;11001.0;Bogota Dc;Bogota;Urbana;;73.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;1.Lunes;;1.0
2017.0;41298.0;Huila;Garzon;Urbana;Mujer;4.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;4.Jueves;;1.0
2019.0;76834.0;Valle Del Cauca;Tulua;Urbana;Mujer;76.0;Peatón;Peatón;No Aplica;Sin info.;PEATÓN;5.Viernes;;1.0
2016.0;50001.0;Meta;Villavicencio;Urbana;Hombre;21.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;5.Viernes;18:00 a 20:59;1.0
2023.0;5315.0;Antioquia;Guadalupe;Urbana;Mujer;24.0;Usuario de moto;Usuario de moto;;Motocicleta;Coductor;7.Domingo;;1.0
2024.0;13468.0;Bolivar;Mompos;Urbana;Hombre;64.0;Usuario de moto;Usuario de moto;Motocicleta;N aplica;Conductor;6.Sábado;;1.0
2021.0;52001.0;Narino;Pasto;Urbana;Hombre;83.0;Peatón;Peatón;No Aplica;  Motocicleta  ;Peatón;1.Lunes;;1.0
2022.0;52352.0;Narino;Iles;Rural;Hombre;85.0;Peatón;Peatón;No Aplica;Sin info.;;2.Martes;18:00 a 20:59;1.0
2020.0;47001.0;Magdalena;Santa Marta;Sin Información;Hombre;20.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de pasajeros;Conductor;4.Jueves;;
2015.0;19807.0;Cauca;;Urbana;Mujer;69.0;Usuario T.Pasajeros;Usuario de vehículo;Transporte De Pasajeros;Objeto fijo;Pasajero;4.JUEVES;21:00 a 23:59;1.0
2016.0;66170.0;Risaralda;Dosquebradas;Urbana;MUJER;80.0;Peatón;Peatón;No Aplica;Transporte de pasajeros;Peatón;3.Miércoles;12:00 a 14:59;1.0
2023.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;20.0;Usuaro de moto;Usuario de moto;Motocicleta;Transporte de carga;Conductor;7.Domingo;15:00 a 17:59;1.0
2015.0;76147.0;Valle Del Cauca;Cartago;Urbana;Hombre;27.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;1.Lunes;;1.0
