FechaHecho;DiaOcurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;UsuarioVia;Rango3horas;ConteoRegistros
2016-01-01;5.Viernes;5001.0;Antioquia;Medellin;Urbana;Usuario de moto;09:00 a 11:59;1.0
2016-01-01;5.Viernes;5308.0;Antioquia;Girardota;Urbana;Usuario de V.Individual;09:00 a 11:59;1.0
2016-01-01;5.Viernes;5390.0;Antioquia;La Pintada;Rural;Peatón;15:00 a 17:59;1.0
2016-01-01;5.Viernes; 8638.0 ;Atlantico;Sabanalarga;Urbana;Peatón;18:00 a 20:59;1.0
2016-01-01;5.Viernes;8638.0;Atlantico;Sabanalarga;Urbana;Usuario de moto;15:0 a 17:59;1.0
2016-01-01;5.Viernes;11001.0;Bogota Dc;Bogota;Urbana;Peatón;;1.0
2016-01-01;5.Viernes;;Bolivar;Cartagena;Urbana;Peatón;;1.0
2016-01-01;5.Viernes;13430.0;Bolivar;Magangue;Rural;Usuario de bicicleta;21:00 a 23:59;1.0
2016-01-01;5.Viernes;15238.0;Boyaca;Duitama;Rural;Usuario de V.Individual;;1.0
2016-01-01;5.Viernes;17174.0;Caldas;Chinchina;Rural;Peatón;15:00 a 17:59;1.0
2016-01-01;5.Viernes;18001.0;Caqueta;Florencia;Rural;Usuario de moto;09:00 a 11:59;2.0
2016-01-01;5.Viernes;19450.0;Cauca;Mercaderes;Urbana;Peatón;03:00 a 05:59;
2016-01-01;5.Viernes;19548.0;Cauca;Piendamo;Rural;Usuario de moto;06:00 a 08:59;1.0
2016-01-01;5.Viernes;20001.0;Cesar;Valledupar;Rural;Usuario de V.Individual;;1.0
2016-01-01;5.Viernes;25612.0;Cundinamarca;Ricaurte;Urbana;Usuario de moto;12:00 a 14:59;1.0
2016-01-01;5.Viernes;41001.0;Huila;Neiva;Urbana;Usuario de moto;00:00 a 02:59;1.0
2016-01-01;5.Viernes;41524.0;Huila;Palermo;Rural;Usuario de moto;12:00 a 14:59; 1.0 
2016-01-01;5.Viernes;41668.0;Huila;San Agustin;Rural;;18:00 a 20:59;1.0
2016-01-01;5.Viernes;41668.0;Huila;San Agustin;Rural;Usuario de moto;;1.0
2016-01-01;5.Viernes;47189.0;Magdalena;Cienaga;Rural;Usuario de moto;;1.0
2016-01-01;5.Viernes;47189.0;Magdalena;Cienaga;Urbana;Usuario de moto;;1.0
2016-01-01;5.Viernes;;Meta;Villavicencio;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-01-01;5.Viernes;50006.0;Meta;Acacias;Rural;;;1.0
2016-01-01;5.Viernes;50689.0;Meta;San Martin;Urbana;Usuario de moto;;1.0
2016-01-01;5.Viernes;52354.0;Narino;Imues;Urbana;Usuario de moto;03:00 a 05:59;1.0
2016-01-01;5.Viernes;52835.0;Narino;Tumaco;Rural;Usuario de moto;00:00 a 02:59;1.0
2016-01-01;5.Viernes;54261.0;Norte Santander;El Zulia;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-01-01;5.Viernes;73030,0;Tolima;Ambalema;Rural;Usuario de V.Individual;03:00 a 05:59;2,0
2016-01-01;5.Viernes;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;;1.0
2016-01-01;;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;06:00 a 08:59;1.0
2016-01-01;5.Viernes;76109.0;Valle Del Cauca;Buenaventura;Urbana;Usuario de moto;;2.0
;5.Viernes;76147.0;Valle Del Cauca;Cartago;Urbana;Usuario de moto;15:00 a 17:59;1.0
